		0	1	2	3	4	5	6	7
		P1T1	P1T2	P1T3	P2T1	P2T2	P2T3	P2T4	P2T5

0	S1F1	-99.0	-99.0	0.0	10.0	10.0	-99.0	-99.0	-99.0	
1	S1F2	-99.0	-99.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	
2	S1F3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
3	S1F4	-99.0	-99.0	-99.0	7.0	7.0	-99.0	-99.0	-99.0	

4	S2F1	0.0	0.0	-99.0	-99.0	-99.0	10.0	10.0	-99.0	
5	S2F2	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
6	S2F3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
7	S2F4	-99.0	-99.0	-99.0	-99.0	-99.0	7.0	7.0	-99.0	

8	S3F1	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	10.0	
9	S3F2	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
10	S3F3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	
11	S3F4	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	7.0	

